question id,question,a,b,c,d,solution
1,What is the capital city of France?,Paris,Rome,Berlin,Madrid,a
2,Which planet is closest to the sun?,Mercury,Venus,Earth,Mars,a
3,"Who wrote the novel ""Pride and Prejudice""?",Charles Dickens,Jane Austen,William Shakespeare,Mark Twain,b
4,What is the smallest country in the world?,Monaco,San Marino,Vatican City,Liechtenstein,c
5,Which of the following countries is not in Europe?,Brazil,Russia,France,Italy,a
6,Who was the first U.S. president?,George Washington,Thomas Jefferson,Abraham Lincoln,John F. Kennedy,a
7,What is the largest mammal in the world?,Elephant,Blue whale,Giraffe,Hippopotamus,b
8,"Who directed the movie ""Jaws""?",Steven Spielberg,George Lucas,Martin Scorsese,Alfred Hitchcock,a
9,What is the currency of Japan?,Yen,Won,Baht,Yuan,a
10,Who was the lead singer of the band Queen?,Freddie Mercury,Mick Jagger,David Bowie,Bono,a
11,What is the name of the tower in Pisa that leans?,Leaning Tower of London,Leaning Tower of Paris,Leaning Tower of Pisa,Leaning Tower of Rome,c
12,What is the name of the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,a
13,What is the name of the currency used in the United Kingdom?,Pound,Euro,Dollar,Yen,a
14,Which of the following is not a type of pasta?,Spaghetti,Lasagna,Pizza,Linguine,c
15,"Who wrote the play ""Romeo and Juliet""?",William Shakespeare,Oscar Wilde,Samuel Beckett,Tennessee Williams,a
16,What is the name of the largest desert in the world?,Sahara,Gobi,Mojave,Kalahari,a
17,"What is the name of the famous university located in Cambridge, England?",Oxford University,Harvard University,Cambridge University,Yale University,c
18,"Who is the author of ""The Catcher in the Rye""?",J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,a
19,What is the name of the famous painting by Leonardo da Vinci that depicts a woman with a mysterious smile?,The Last Supper,The Mona Lisa,The Starry Night,The Scream,b
20,Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Albert Einstein,Isaac Newton,a
21,What is the name of the famous river in South America?,Amazon River,Mississippi River,Nile River,Yangtze River,a
22,What is the name of the famous mountain located in Nepal?,Mount Everest,Mount Kilimanjaro,Mount Fuji,Mount Denali,a
23,"Who wrote the novel ""1984""?",George Orwell,Aldous Huxley,Ray Bradbury,Isaac Asimov,a
24,What is the name of the famous structure located in India that was built as a tomb in memory of an emperor?,Taj Mahal,The Great Wall,The Colosseum,The Pyramids,a
25,What is the name of the famous ballet that features a young girl and a prince?,The Nutcracker,Swan Lake,Giselle,Don Quixote,a
26,"What is the name of the famous composer who wrote the ""Moonlight Sonata""?",Wolfgang Amadeus Mozart,Ludwig van Beethoven,Johann Sebastian Bach,Frederic Chopin,b
27,What is the name of the largest waterfall in the world?,Victoria Falls,Niagara Falls,Angel Falls,Iguazu Falls,a
28,What is the name of the famous ship that sank in the North Atlantic Ocean in 1912?,Titanic,Lusitania,Britannic,Olympic,a
29,What is the name of the famous Italian artist who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Botticelli,a
30,Who was the first person to walk on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,a
31,What is the name of the famous sculpture by Auguste Rodin that depicts a man sitting with his chin resting on his hand?,The Thinker,The Kiss,David,Venus de Milo,a
32,"What is the name of the famous composer who wrote the opera ""The Barber of Seville""?",Giuseppe Verdi,Gioachino Rossini,Wolfgang Amadeus Mozart,Richard Wagner,b
33,What is the name of the famous monument in Washington D.C. that honors the 16th president of the United States?,Lincoln Memorial,Washington Monument,Jefferson Memorial,Roosevelt Memorial,a
34,What is the name of the famous physicist who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Stephen Hawking,b
35,"What is the name of the famous American author who wrote ""To Kill a Mockingbird""?",Ernest Hemingway,F. Scott Fitzgerald,Harper Lee,William Faulkner,c
36,What is the name of the famous basketball player who played for the Chicago Bulls?,Kobe Bryant,Michael Jordan,Magic Johnson,LeBron James,b
37,What is the name of the famous volcano located in Italy?,Mount Kilimanjaro,Mount Fuji,Mount St. Helens,Mount Vesuvius,d
38,"What is the name of the famous playwright who wrote ""Hamlet"" and ""Macbeth""?",William Shakespeare,Tennessee Williams,Arthur Miller,Samuel Beckett,a
39,What is the name of the famous fashion designer who founded the Chanel brand?,Coco Chanel,Giorgio Armani,Karl Lagerfeld,Yves Saint Laurent,a
40,What is the name of the famous American inventor who invented the electric light bulb?,Thomas Edison,Alexander Graham Bell,Benjamin Franklin,Isaac Newton,a
41,What is the name of the famous tennis player who won 20 Grand Slam singles titles?,Roger Federer,Rafael Nadal,Novak Djokovic,Pete Sampras,a
42,What is the name of the famous American civil rights activist who was known for his role in the Montgomery Bus Boycott?,Martin Luther King Jr.,Malcolm X,Rosa Parks,Jesse Jackson,a
43,"What is the name of the famous artist who painted the ""Starry Night""?",Vincent van Gogh,Pablo Picasso,Salvador Dali,Claude Monet,a
