question id,question,a,b,c,d,solution
1,What is 3 x 4?,7,10,12,15,c
2,What is 10 - 5?,2,5,7,10,b
3,What is the value of pi (π)?,2.718,3.142,3.618,4.669,b
4,What is the square root of 25?,2,3,4,5,d
5,What is the product of 7 x 6?,31,36,42,49,c
6,"What is the next number in the sequence: 2, 4, 6, 8, ___?",10,11,12,14,d
7,What is the perimeter of a square with sides of length 5?,10,15,20,25,c
8,What is the area of a rectangle with length 6 and width 3?,6,9,12,18,d
9,"What is the next shape in the sequence: circle, square, triangle, circle, square, ___?",circle,triangle,square,pentagon,b
10,What is 6 ÷ 2?,2,3,4,5,b
11,What is 4 x 5?,10,15,20,25,c
12,What is 3 + 7?,7,10,11,12,d
13,What is the value of the digit 6 in the number 763?,6,60,600,"6,000",a
14,"What is the next number in the sequence: 1, 4, 9, 16, ___?",20,25,30,36,b
15,What is the perimeter of a rectangle with length 7 and width 2?,10,16,18,28,c
16,What is the area of a square with sides of length 4?,4,8,12,16,d
17,"What is the next shape in the sequence: circle, triangle, square, circle, triangle, ___?",circle,square,pentagon,hexagon,b
18,What is the sum of the first three even numbers?,6,8,10,12,b
19,What is the difference between 12 and 6?,4,6,8,12,b
20,What is the area of a square with sides of length 6?,6,12,18,36,d
21,What is the sum of the first four odd numbers?,4,8,12,16,d
22,What is the value of the digit 7 in the number 572?,7,70,700,"7,000",a
23,What is 8 ÷ 4?,2,3,4,5,c
24,What is 2 x 8?,8,10,12,16,d
25,"What is the next number in the sequence: 1, 3, 5, 7, ___?",8,9,10,11,d
26,What is the perimeter of a rectangle with length 8 and width 3?,14,16,18,24,c
27,"What is the next shape in the sequence: triangle, circle, square, pentagon, ___?",hexagon,heptagon,octagon,nonagon,b
28,What is the difference between 15 and 8?,5,6,7,8,c
29,What is the value of 3 cubed (3³)?,6,9,18,27,d
